Breed,length,origin,min_life_expectancy,max_life_expectancy,min_weight,max_weight,family_friendly,shedding,general_health,playfulness,children_friendly,grooming,intelligence,other_pets_friendly,friendly_toward_strangers,tendency_to_vocalize
Abyssinian,12 to 16 inches,Southeast Asia,9.0,15.0,6.0,10.0,3.0,3.0,2.0,5.0,5.0,3.0,5.0,5.0,,
Aegean,Medium,Greece,9.0,10.0,7.0,10.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,,
American Bobtail,Medium,USA,11.0,15.0,8.0,13.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0
American Shorthair,12 to 15 inches,USA,15.0,20.0,7.0,12.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,
American Wirehair,Medium to large,USA,14.0,18.0,8.0,15.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,
Aphrodite Giant,Large,Cyprus,12.0,15.0,11.0,24.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,,
Arabian Mau,Medium,Saudi Arabia,12.0,14.0,8.0,16.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,,
Asian,Medium,United Kingdom,15.0,15.0,10.0,10.0,5.0,1.0,4.0,4.0,5.0,3.0,4.0,4.0,,
Australian Mist,Medium,Australia,15.0,18.0,8.0,15.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,,
Bambino,Short,USA,9.0,15.0,4.0,9.0,4.0,1.0,3.0,4.0,4.0,2.0,3.0,3.0,,
Bengal Cats,17 to 22 inches,USA,10.0,16.0,8.0,17.0,5.0,2.0,3.0,5.0,5.0,4.0,5.0,5.0,,2.0
Birman,15 to 18 inches,Unknown,12.0,16.0,6.0,12.0,5.0,3.0,2.0,4.0,5.0,2.0,4.0,5.0,,4.0
Bombay,13 to 20 inches,USA,12.0,20.0,8.0,15.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
Brazilian Shorthair,Medium to large,Brazil,14.0,20.0,10.0,22.0,4.0,1.0,3.0,4.0,5.0,4.0,4.0,4.0,,
British Longhair,Medium to Large,United Kingdom,15.0,17.0,9.0,18.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,,
British Shorthair,22 to 25 inches,United Kingdom,12.0,17.0,7.0,17.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0,4.0
Burmese,15 to 18 inches,Thailand,10.0,16.0,8.0,12.0,5.0,2.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,
Burmilla,Medium,United Kingdom,10.0,15.0,6.5,13.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,,
California Spangled,Medium to Large,USA,9.0,16.0,8.0,15.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,,
Chantilly-Tiffany,Medium,USA,7.0,16.0,6.0,12.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,,
Chausie,Large,Egypt,12.0,14.0,15.0,30.0,4.0,1.0,4.0,4.0,1.0,5.0,5.0,4.0,,
Colorpoint Shorthair,Small to medium,United Kingdom,12.0,17.0,5.0,10.0,5.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,,1.0
Cornish Rex,Small,United Kingdom,11.0,15.0,6.0,10.0,5.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0
Cyprus,Medium,Cyprus,12.0,15.0,8.0,16.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,,
Devon Rex,15 to 18 inches,United Kingdom,9.0,15.0,5.0,10.0,5.0,1.0,1.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0
Donskoy,Medium,Russia,12.0,15.0,6.0,15.0,4.0,1.0,3.0,4.0,4.0,2.0,4.0,4.0,,
European Shorthair,Medium,Italy,15.0,20.0,8.0,15.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,,
Foldex,Medium,USA,12.0,15.0,5.0,14.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,,
German Rex,Small to medium,Germany,9.0,14.0,5.0,8.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,,
Highlander,Medium to large,USA,10.0,15.0,10.0,20.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,5.0,,
Japanese Bobtail,Medium,China,9.0,15.0,6.0,10.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,,1.0
Javanese,Small to medium,USA,10.0,15.0,5.0,10.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0
Khao Manee,10 to 12 inches,Thailand,10.0,12.0,8.0,10.0,4.0,1.0,3.0,5.0,5.0,4.0,4.0,4.0,,
Kurilian Bobtail,Medium to large,Kuril Islands,15.0,20.0,8.0,15.0,4.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,,
Lykoi,Short to Medium,USA,12.0,15.0,4.0,7.0,4.0,4.0,3.0,4.0,4.0,2.0,5.0,3.0,,
Maine Coon,30 to 40 inches,USA,9.0,15.0,9.0,18.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,2.0,4.0
Manx,14 to 16 inches,United Kingdom,8.0,14.0,8.0,12.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0
Mekong Bobtail,Medium,Southeast Asia,15.0,18.0,8.0,10.0,4.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,,
Nebelung,Medium to long,USA,11.0,18.0,7.0,15.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,
Oriental Bicolor,Medium,USA,8.0,12.0,8.0,12.0,4.0,1.0,3.0,4.0,5.0,4.0,4.0,3.0,,
Persian,14 to 18 inches,Iran,10.0,15.0,7.0,12.0,3.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0
Peterbald,Medium,Russia,12.0,15.0,6.0,10.0,5.0,1.0,3.0,4.0,4.0,2.0,3.0,4.0,,
Pixie-Bob,20 to 24 inches,USA,13.0,15.0,8.0,17.0,5.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0
Ragdoll Cats,17 to 21 inches,USA,12.0,17.0,10.0,20.0,5.0,4.0,3.0,4.0,5.0,1.0,4.0,4.0,,4.0
Russian Blue,15 to 18 inches,Russia,10.0,15.0,7.0,15.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,
Savannah,13 to 20 inches,USA,17.0,20.0,8.0,20.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0
Scottish Fold,10 to 12 inches,Scotland,11.0,14.0,6.0,13.0,5.0,3.0,3.0,3.0,5.0,2.0,4.0,4.0,,
Serengeti,Medium,USA,10.0,15.0,8.0,15.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,,
Siamese Cat,15 to 20 inches,Thailand,8.0,15.0,6.0,14.0,5.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,,
Siberian,17 to 25 inches,Russia,11.0,18.0,8.0,17.0,5.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,2.0
Singapura,Small,Singapore,11.0,15.0,4.0,7.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0
Snowshoe,Medium to long,USA,14.0,19.0,7.0,12.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0
Sokoke,Medium,Kenya,9.0,15.0,6.0,10.0,4.0,1.0,3.0,4.0,5.0,4.0,4.0,4.0,,
Somali,11 to 14 inches,USA,11.0,16.0,6.0,10.0,5.0,4.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,
Sphynx,13 to 15 inches,USA,8.0,14.0,6.0,12.0,5.0,1.0,2.0,4.0,5.0,2.0,4.0,5.0,5.0,
